"Reference","Value","Footprint","QUANTITY","DNP","Datasheet","Description"
"J12","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7051x","1","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB 2.0-only 16P Type-C Receptacle connector"
"L1","8.2uH","Inductor_SMD:L_Changjiang_FNR4010S","1","","","Inductor"
"R1","523k","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R2","84.5kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R3","162kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R4","13.0kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R5","59kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R6","10.2kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R7","5.1kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R8","5.1kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R9","120Ω","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R12","33Ω","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R13","33Ω","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R14","33Ω","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R15","10kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R16","10kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R17","10kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R18","4.7kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R19","4.7kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R22","1k","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"R23","100Ω","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"Reset1","10kΩ","Resistor_SMD:R_0402_1005Metric","1","","","Resistor, US symbol"
"SW1","SMD_4.2x3.2mm_h2.5mm","PCM_SparkFun-Switch:Push_SMD_4.2x3.2mm","1","","https://www.ckswitches.com/media/3130/ck_rk_datasheet.pdf","Single Pole Single Throw (SPST) switch"
"SW2","SMD_4.2x3.2mm_h2.5mm","PCM_SparkFun-Switch:Push_SMD_4.2x3.2mm","1","","https://www.ckswitches.com/media/3130/ck_rk_datasheet.pdf","Single Pole Single Throw (SPST) switch"
"U1","ESP32-S3-WROOM-1","RF_Module:ESP32-S3-WROOM-1","1","","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF Module, ESP32-S3 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 3.3V, onboard antenna, SMD"
"U3","SN65HVD230DR","Symbol:D8-L","1","","https://www.ti.com/lit/gpn/sn65hvd230",""
"U4","TPS54360BQDDARQ1","Transistor_Power_Module:DDA8_3P1X2P4_TEX-L","1","","https://www.ti.com/lit/gpn/tps54360b-q1",""
"U5","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1","","https://www.diodes.com/assets/Datasheets/AP2112.pdf","600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5"
"U6","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","1","","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Very low capacitance ESD protection diode, 2 data-line, SOT-666"
"XT30F1","Conn_01x02","Connector_AMASS:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical","1","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"XT30F2","Conn_01x02","Connector_AMASS:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical","1","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"XT30M1","Conn_01x02","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","1","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"XT302+2F1","Conn_01x04_Pin","","1","DNP","","Generic connector, single row, 01x04, script generated"
"Xt302+2F2","Conn_01x04_Pin","","1","DNP","","Generic connector, single row, 01x04, script generated"
